DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,QC Level,# ToxCast Active,Total Assays,% ToxCast Active
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025286,Ethylene glycol dimethyl ether,110-71-4,XTHFKEDIFFGKHM-UHFFFAOYSA-N,"1,2-Dimethoxyethane",COCCOC,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3
",C4H10O2,90.122,90.068080,1,4/234,234,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025604,Ethyl t-butyl ether,637-92-3,NUMQCACRALPSHD-UHFFFAOYSA-N,2-Ethoxy-2-methylpropane,CCOC(C)(C)C,"InChI=1S/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3
",C6H14O,102.177,102.104465,1,0/234,234,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0026387,1-Propyne,74-99-7,MWWATHDPGQKSAR-UHFFFAOYSA-N,Prop-1-yne,CC#C,"InChI=1S/C3H4/c1-3-2/h1H,2H3
",C3H4,40.065,40.031300,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027014,2-Octanol,123-96-6,SJWFXCIHNDVPSH-UHFFFAOYSA-N,Octan-2-ol,CCCCCCC(C)O,"InChI=1/C8H18O/c1-3-4-5-6-7-8(2)9/h8-9H,3-7H2,1-2H3
",C8H18O,130.231,130.135765,1,5/362,362,1
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0059742,"Propanal, 2-methyl-, oxime",151-00-8,SYJPAKDNFZLSMV-UHFFFAOYSA-N,N-(2-Methylpropylidene)hydroxylamine,CC(C)C=NO,"InChI=1S/C4H9NO/c1-4(2)3-5-6/h3-4,6H,1-2H3
",C4H9NO,87.122,87.068414,2, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00870780,2-​Cyclohexen-​1-​ol,822-67-3,PQANGXXSEABURG-UHFFFAOYSA-N,Cyclohex-2-en-1-ol,OC1CCCC=C1,"InChI=1/C6H10O/c7-6-4-2-1-3-5-6/h2,4,6-7H,1,3,5H2
",C6H10O,98.145,98.073165,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID101334114,"2,3-Dihydro-1H-indene-2-carbaldehyde",37414-44-1,KPTYDOSQASSERS-UHFFFAOYSA-N,"2,3-Dihydro-1H-indene-2-carbaldehyde",O=CC1CC2=C(C1)C=CC=C2,"InChI=1S/C10H10O/c11-7-8-5-9-3-1-2-4-10(9)6-8/h1-4,7-8H,5-6H2
",C10H10O,146.189,146.073165,4, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020859,alpha-Methylbenzyl alcohol,98-85-1,WAPNOHKVXSQRPX-UHFFFAOYSA-N,1-Phenylethan-1-ol,CC(O)C1=CC=CC=C1,"InChI=1/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3
",C8H10O,122.167,122.073165,1,0/234,234,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021328,Tetrahydrofuran,109-99-9,WYURNTSHIVDZCO-UHFFFAOYSA-N,Oxolane,C1CCOC1,"InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
",C4H8O,72.107,72.057515,1,1/320,320,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021827,Cumene,98-82-8,RWGFKTVRMDUZSP-UHFFFAOYSA-N,(Propan-2-yl)benzene,CC(C)C1=CC=CC=C1,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3
",C9H12,120.195,120.093900,1,7/234,234,3
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1022007,Butyl ether,142-96-1,DURPTKYDGMDSBL-UHFFFAOYSA-N,1-Butoxybutane,CCCCOCCCC,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3
",C8H18O,130.231,130.135765,1,1/234,234,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024097,2-Butoxyethanol,111-76-2,POAOYUHQDCAZBD-UHFFFAOYSA-N,2-Butoxyethan-1-ol,CCCCOCCO,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3
",C6H14O2,118.176,118.099380,1,2/575,575,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024621,Diethylene glycol dimethyl ether,111-96-6,SBZXBUIDTXKZTM-UHFFFAOYSA-N,1-Methoxy-2-(2-methoxyethoxy)ethane,COCCOCCOC,"InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3
",C6H14O3,134.175,134.094294,1,66/580,580,11
